trust_ppl_90,proud_90,geograph_01_90,geograph_02_90,sex_90,year_of_birth_90,occupation_90,education_90,school_90,allow_work_90,avoid_criminal,avoid_other_race,avoid_LW,avoid_alchoholics,avoid_RW,avoid_families,avoid_neurotic,avoid_muslims,avoid_foreign_workers,avoid_ppl_w_aids,avoid_drug_addicts,avoid_homosexuals,avoid_jews,avoid_hindu,avoid_dont_care
most can be trusted,quite proud,local region,Europe,male,65,skilled,skilled education,8th grade,allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,own country,male,65,NA,master from university,student or HF,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,local region,own country,male,65,non-skilled,skilled education,10th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,Europe,male,65,trainee - craftmanship,skilled education,9th grade,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked,checked,checked,not checked,not checked,not checked
most can be trusted,not very proud,own country,Europe,male,65,functionary with education,skilled education,9th grade,allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own country,local region,male,65,non-skilled,NA,10th grade,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,own town,own country,male,65,functionary with education,short buisness or computer science,10th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,Europe,male,65,non-skilled,master from university,student or HF,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,local region,male,65,Farmer,skilled education,9th grade,allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,the whole world,male,65,non-skilled,NA,8th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,the whole world,dont know,male,65,non-skilled,buisness or banking,student or HF,allowed,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,own town,male,65,NA,NA,9th grade,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,66,functionary with education,short buisness or computer science,10th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own country,own town,male,66,non-skilled,master from university,student or HF,allowed,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,own town,local region,male,66,skilled,skilled education,gymnasium or simmilar no examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,local region,own country,male,66,skilled,skilled education,10th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,male,66,armed forces,skilled education,10th grade,not allowed,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,checked,not checked,checked,checked,not checked,checked,not checked
undetermined,quite proud,own country,the whole world,male,66,non-skilled,master from university,student or HF,allowed,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,male,66,functionary with education,skilled education,10th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
